"zip","population","zip_code","latitude","longitude","city","state","county"
78745,63287,78745,30.1987,-97.7972,"Austin","TX","Travis"
91977,63267,91977,32.7184,-117,"Spring Valley","CA","San Diego"
92404,63261,92404,34.1591,-116.709,"San Bernardino","CA","San Bernardino"
95127,63220,95127,37.3739,-121.796,"San Jose","CA","Santa Clara"
44035,63198,44035,41.3714,-82.1051,"Elyria","OH","Lorain"
91770,63177,91770,33.7866,-118.299,"Rosemead","CA","Los Angeles"
11372,63107,11372,40.7511,-73.8825,"Jackson Heights","NY","Queens"
85008,62995,85008,33.4468,-111.954,"Phoenix","AZ","Maricopa"
89123,62982,89123,35.9888,-115.158,"Las Vegas","NV","Clark"
78574,62972,78574,26.3208,-98.3181,"Mission","TX","Hidalgo"
78250,62951,78250,29.4375,-98.4616,"San Antonio","TX","Bexar"
33313,62945,33313,26.1487,-80.2075,"Fort Lauderdale","FL","Broward"
19143,62927,19143,39.9573,-75.187,"Philadelphia","PA","Philadelphia"
11717,62888,11717,40.7809,-73.2503,"Brentwood","NY","Suffolk"
90640,62873,90640,33.7866,-118.299,"Montebello","CA","Los Angeles"
90019,62816,90019,33.7866,-118.299,"Los Angeles","CA","Los Angeles"
91950,62783,91950,32.6712,-117.084,"National City","CA","San Diego"
75071,62769,75071,0,0,"Mc Kinney","TX","Collin"
27406,62757,27406,35.9916,-79.7598,"Greensboro","NC","Guilford"
60402,62729,60402,41.8119,-87.6873,"Berwyn","IL","Cook"
75043,62721,75043,32.876,-96.5823,"Garland","TX","Dallas"
42101,62715,42101,37.0174,-86.4518,"Bowling Green","KY","Warren"
92707,62698,92707,33.6791,-117.877,"Santa Ana","CA","Orange"
11434,62590,11434,40.6746,-73.7816,"Jamaica","NY","Queens"
90660,62507,90660,33.9858,-118.089,"Pico Rivera","CA","Los Angeles"
32210,62457,32210,30.2745,-81.7867,"Jacksonville","FL","Duval"
